2026-09-07 01:40:04.212 | INFO     | raven.core.gateway.channel_manager:register:20 - Registered channel: mock
2026-09-07 01:40:04.214 | INFO     | raven.core.gateway.gateway:handle_message:512 - [2b473713] Incoming message from mock[user1]: message 0
2026-09-07 01:40:04.214 | DEBUG    | raven.core.security.context_filter:_try_init_presidio:356 - [context_filter] presidio_analyzer not available — using regex patterns only
2026-09-07 01:40:04.214 | INFO     | raven.core.gateway.gateway:_handle_message_inner:575 - [2b473713] Processing message from mock[user1]
2026-09-07 01:40:04.217 | ERROR    | raven.core.agent.agent:run:423 - Agent: LLM call failed (round 1/10): sequence item 0: expected str instance, MagicMock found
2026-09-07 01:40:04.718 | ERROR    | raven.core.agent.agent:run:423 - Agent: LLM call failed (round 2/10): sequence item 0: expected str instance, MagicMock found
2026-09-07 01:40:05.720 | ERROR    | raven.core.agent.agent:run:423 - Agent: LLM call failed (round 3/10): sequence item 0: expected str instance, MagicMock found
2026-09-07 01:40:05.722 | INFO     | raven.core.gateway.gateway:handle_message:512 - [2b473713] Incoming message from mock[user1]: message 1
2026-09-07 01:40:05.723 | DEBUG    | raven.core.security.context_filter:_try_init_presidio:356 - [context_filter] presidio_analyzer not available — using regex patterns only
2026-09-07 01:40:05.723 | INFO     | raven.core.gateway.gateway:_handle_message_inner:575 - [2b473713] Processing message from mock[user1]
2026-09-07 01:40:05.723 | ERROR    | raven.core.agent.agent:run:423 - Agent: LLM call failed (round 1/10): sequence item 0: expected str instance, MagicMock found
2026-09-07 01:40:06.224 | ERROR    | raven.core.agent.agent:run:423 - Agent: LLM call failed (round 2/10): sequence item 0: expected str instance, MagicMock found
2026-09-07 01:40:07.226 | ERROR    | raven.core.agent.agent:run:423 - Agent: LLM call failed (round 3/10): sequence item 0: expected str instance, MagicMock found
2026-09-07 01:40:07.227 | INFO     | raven.core.gateway.gateway:handle_message:512 - [2b473713] Incoming message from mock[user1]: message 2
2026-09-07 01:40:07.227 | DEBUG    | raven.core.security.context_filter:_try_init_presidio:356 - [context_filter] presidio_analyzer not available — using regex patterns only
2026-09-07 01:40:07.227 | INFO     | raven.core.gateway.gateway:_handle_message_inner:575 - [2b473713] Processing message from mock[user1]
2026-09-07 01:40:07.228 | ERROR    | raven.core.agent.agent:run:423 - Agent: LLM call failed (round 1/10): sequence item 0: expected str instance, MagicMock found
2026-09-07 01:40:07.729 | ERROR    | raven.core.agent.agent:run:423 - Agent: LLM call failed (round 2/10): sequence item 0: expected str instance, MagicMock found
2026-09-07 01:40:08.731 | ERROR    | raven.core.agent.agent:run:423 - Agent: LLM call failed (round 3/10): sequence item 0: expected str instance, MagicMock found
2026-09-07 01:40:08.733 | INFO     | raven.core.gateway.gateway:stop:369 - Stopping gateway...
2026-09-07 01:40:08.733 | INFO     | raven.core.outbox:stop:89 - Outbox stopped
2026-09-07 01:40:08.733 | INFO     | raven.core.gateway.task_orchestrator:stop:88 - TaskOrchestrator stopped
2026-09-07 01:40:08.733 | INFO     | raven.core.gateway.channel_manager:stop_all:50 - Channel stopped: mock
2026-09-07 01:40:08.733 | DEBUG    | raven.core.store:close:54 - Connection closed for MonitorStore
2026-09-07 01:40:08.733 | DEBUG    | raven.core.store:close:54 - Connection closed for RoutineStore
