"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2","test_mcp_tools_registered_in_registry","tests.e2e","2026-09-22","passed","2026-09-22","TestMCPGatewayIntegration","test_mcp_gateway","",""
"","1510","test_unknown_command_falls_through","tests.e2e","2026-09-22","passed","2026-09-22","TestGatewayE2E","test_gateway_e2e","",""
"","0","test_mcp_pool_disconnect_all","tests.e2e","2026-09-22","passed","2026-09-22","TestMCPGatewayIntegration","test_mcp_gateway","",""
"","1511","test_handle_message_sends_response","tests.e2e","2026-09-22","passed","2026-09-22","TestGatewayE2E","test_gateway_e2e","",""
"","3","test_handle_reset_command","tests.e2e","2026-09-22","passed","2026-09-22","TestGatewayE2E","test_gateway_e2e","",""
"","1","test_mcp_tool_call_error_returns_error_string","tests.e2e","2026-09-22","passed","2026-09-22","TestMCPGatewayIntegration","test_mcp_gateway","",""
"","2","test_mcp_unknown_server_returns_error","tests.e2e","2026-09-22","passed","2026-09-22","TestMCPGatewayIntegration","test_mcp_gateway","",""
"","14","test_user_created_in_db","tests.e2e","2026-09-22","passed","2026-09-22","TestFullFlowRealSqlite","test_full_flow","",""
"","0","test_mcp_empty_config_does_not_fail","tests.e2e","2026-09-22","passed","2026-09-22","TestMCPGatewayIntegration","test_mcp_gateway","",""
"","0","test_channel_registration","tests.e2e","2026-09-22","passed","2026-09-22","TestGatewayE2E","test_gateway_e2e","",""
"","1510","test_message_received_metric","tests.e2e","2026-09-22","passed","2026-09-22","TestGatewayE2E","test_gateway_e2e","",""
"","0","test_channel_bridge_present","tests.e2e","2026-09-22","passed","2026-09-22","TestGatewayE2E","test_gateway_e2e","",""
"","2","test_mcp_in_gateway_mcp_command","tests.e2e","2026-09-22","passed","2026-09-22","TestMCPGatewayIntegration","test_mcp_gateway","",""
"","3","test_handle_new_command","tests.e2e","2026-09-22","passed","2026-09-22","TestGatewayE2E","test_gateway_e2e","",""
"","1","test_handle_help_command","tests.e2e","2026-09-22","passed","2026-09-22","TestGatewayE2E","test_gateway_e2e","",""
"","1510","test_message_publishes_event","tests.e2e","2026-09-22","passed","2026-09-22","TestGatewayE2E","test_gateway_e2e","",""
"","0","test_db_health_check_true","tests.e2e","2026-09-22","passed","2026-09-22","TestFullFlowRealSqlite","test_full_flow","",""
"","3","test_mcp_concurrent_calls","tests.e2e","2026-09-22","passed","2026-09-22","TestMCPGatewayIntegration","test_mcp_gateway","",""
"","1","test_mcp_tool_registry_with_empty_pool","tests.e2e","2026-09-22","passed","2026-09-22","TestMCPGatewayIntegration","test_mcp_gateway","",""
"","1526","test_concurrent_messages","tests.e2e","2026-09-22","passed","2026-09-22","TestStress","test_stress","",""
"","7","test_session_and_messages_persisted","tests.e2e","2026-09-22","passed","2026-09-22","TestFullFlowRealSqlite","test_full_flow","",""
"","6","test_stream_reply_delivered","tests.e2e","2026-09-22","passed","2026-09-22","TestFullFlowRealSqlite","test_full_flow","",""
"","4519","test_multiple_messages","tests.e2e","2026-09-22","passed","2026-09-22","TestGatewayE2E","test_gateway_e2e","",""
"","6","test_message_received_metric_counted","tests.e2e","2026-09-22","passed","2026-09-22","TestFullFlowRealSqlite","test_full_flow","",""
"","0","test_guardian_present","tests.e2e","2026-09-22","passed","2026-09-22","TestGatewayE2E","test_gateway_e2e","",""
"","0","test_mcp_plugin_tools_created","tests.e2e","2026-09-22","passed","2026-09-22","TestMCPGatewayIntegration","test_mcp_gateway","",""
"","1","test_handle_status_command","tests.e2e","2026-09-22","passed","2026-09-22","TestGatewayE2E","test_gateway_e2e","",""
"","3","test_mcp_tool_call_via_handler","tests.e2e","2026-09-22","passed","2026-09-22","TestMCPGatewayIntegration","test_mcp_gateway","",""
"","1518","test_burst_rate_limiting","tests.e2e","2026-09-22","passed","2026-09-22","TestStress","test_stress","",""
